Fiyat,Ekran Kartı,İşlemci,İşlemci Nesli,İşlemci Modeli,Ram,Ekran Boyutu,Ekran Kartı Bellek Tipi,Ekran Kartı Hafızası,Ekran Kartı Tipi,Ekran Yenileme Hızı,Ekran Özelliği,Garanti Süresi,Max İşlemci Hızı,Ram Tipi,SSD Kapasitesi,SSD Teknolojisi,Temel İşlemci Hızı,Çözünürlük,İşlemci Frekansı,İşlemci Çekirdek Sayısı,İşletim Sistemi
9900.0,Intel Iris Graphics,Intel Core i5,11. Nesil,1125g4,4.0,"15,6 inç",Dahili,Paylaşımlı,Dahili,60 Hz,,2 Yıl,,DDR4,256.0,,,1920 x 1080,,4,Free Dos
212248.0,Intel UHD Graphics,Intel Core i7,12. Nesil,1255U,16.0,"15,6 inç",Dahili,Paylaşımlı,Dahili,60 Hz,,2 Yıl,4.7,DDR4,512.0,,,1920 x 1080,,10,Free Dos
11149.0,AMD Radeon RX 550,Intel Core i5,4. Nesil,4570,16.0,"24"" / 61 Ekran",GDDR5,4 GB,Harici,,,2 Yıl,,,256.0,,3.2,1920 x 1080,3.00 GHz üstü,4,Free Dos
12299.0,Dahili Ekran Kartı,AMD Ryzen 5,5. Nesil,5500U,16.0,"15,6 inç",DDR4,Paylaşımlı,Dahili,60 Hz,,2 Yıl,,DDR4,500.0,,,1920 x 1080,,6,Free Dos
54499.0,Nvidia GeForce RTX 4070,Intel Core i9,13. Nesil,13900H,16.0,"15,6 inç",GDDR6,8 GB,Harici,144 Hz,,2 Yıl,,DDR5,512.0,,,1920 x 1080,,10,Free Dos
9149.0,Nvidia GeForce GTX1050 Ti,Intel Core i5,3. Nesil,İ5-3470,16.0,,GDDR5,4 GB,Harici,,,2 Yıl,,,512.0,,3.2,1920 x 1080,3.00 GHz üstü,4,Free Dos
232086.0,Nvidia GeForce RTX 3050,Intel Core i5,12. Nesil,12450H,8.0,"15,6 inç",GDDR6,4 GB,Dahili,144 Hz,,2 Yıl,,DDR4,512.0,,,1920 x 1080,,8,Windows
10149.0,Nvidia GT730,Intel Core i5,3. Nesil,3470,16.0,"24"" / 61 Ekran",DDR3,4 GB,Harici,75 Hz,,2 Yıl,,DDR3,512.0,,3.2,1920 x 1080,3.00 GHz üstü,4,Free Dos
8999.0,Nvıdıa GeForce GT 730,Intel Core i7,1. Nesil,860,16.0,22 - 24 inç,DDR3,4 GB,Harici,75 Hz,,2 Yıl,,DDR3,256.0,,2.8,1920 x 1080,2.50 GHz - 3.00 GHz,8,Free Dos
12949.0,Nvidia GeForce GTX1050 Ti,Intel Core i3,10. Nesil,10100F,16.0,,GDDR5,4 GB,Harici,,,2 Yıl,,DDR4,256.0,,3.6,1920 x 1080,3.00 GHz üstü,4,Free Dos
11499.0,Nvidia Geforce GT 740,Intel Core i5,3. Nesil,3470,16.0,22 - 24 inç,GDDR5,4 GB,Harici,75 Hz,,2 Yıl,,DDR3,512.0,,3.2,1920 x 1080,3.00 GHz üstü,4,Free Dos
207891.0,Nvidia GeForce RTX 3060 Ti,Intel Core i5,Belirtilmemiş,i5 12400f,16.0,,GDDR6X,8 GB,Harici,,,2 Yıl,,DDR4,500.0,Gen 4,3.9,1920 x 1080,3.00 GHz üstü,12,Free Dos
9383.0,Nvidia GeForce GTX 1660 SUPER,Intel Core i5,3. Nesil,İ5-3470,16.0,"24"" / 61 Ekran",GDDR6,6 GB,Harici,144 Hz,,2 Yıl,,DDR3,512.0,,3.2,1920 x 1080,3.00 GHz üstü,4,Free Dos
23999.0,Nvidia GeForce RTX 3050,Intel Core i5,12. Nesil,12450H,8.0,16 inç,GDDR6,4 GB,Harici,60 Hz,,2 Yıl,,DDR4,512.0,,,1920 x 1200,,8,Windows
14499.0,Nvidia GeForce MX350,Intel Core i5,11. Nesil,1135G7,8.0,"15,6 inç",GDDR5,2 GB,Harici,60 Hz,,2 Yıl,,DDR4,512.0,,2.4,1920 x 1080,,4,Free Dos
7549.0,Nvidia GT730,Intel Core i5,1. Nesil,İ5-650,8.0,"19"" / 48 Ekran",DDR3,4 GB,Harici,60 Hz,,2 Yıl,,DDR3,120.0,,3.2,1366 x 768,3.00 GHz üstü,4,Free Dos
12959.0,Intel Iris Graphics,Intel Core i5,11. Nesil,1135G7,8.0,"15,6 inç",Dahili,Paylaşımlı,Dahili,60 Hz,,2 Yıl,,DDR4,512.0,,,1920 x 1080,,4,Free Dos
29949.0,Nvidia GeForce RTX 4050,AMD Ryzen 7,7. Nesil,7735HS,8.0,"15,6 inç",GDDR6,6 GB,Harici,144 Hz,,2 Yıl,4.7,DDR5,512.0,,3.2,1920 x 1080,,8,Free Dos
30799.0,Nvidia GeForce RTX 4050,AMD Ryzen 7,7. Nesil,7840HS,16.0,"16,1 inç",GDDR6,6 GB,Harici,144 Hz,,2 Yıl,,DDR5,512.0,,,1920 x 1080,,8,Free Dos
26799.0,Dahili Ekran Kartı,Intel Core i7,12. Nesil,12700H,16.0,16 inç,Belirtilmemiş,Paylaşımlı,Dahili,Belirtilmemiş,,2 Yıl,4.7,Belirtilmemiş,512.0,,3.5,1920 x 1200,,14,Windows
13399.0,AMD Radeon RX 550,Intel Core i5,3. Nesil,İ5-3470,16.0,22 - 24 inç,GDDR5,4 GB,Harici,75 Hz,,2 Yıl,,,256.0,,3.2,1920 x 1080,3.00 GHz üstü,4,Free Dos
34499.0,M2 8 Çekirdekli,Apple M2,1. Nesil,Belirtilmemiş,8.0,"13,6 inç",Dahili,8 GB,Dahili,120 Hz,,2 Yıl,,DDR5,256.0,,3.3,2560 x 1600,,1,Mac Os
21779.0,Nvidia GeForce GTX 1660 SUPER,AMD Ryzen 5,3. Nesil,3600,32.0,25 + inç,GDDR6,6 GB,Harici,165 Hz,,2 Yıl,,DDR4,512.0,Gen 3,3.6,1920 x 1080,3.00 GHz üstü,6,Free Dos
14299.0,Intel UHD Graphics,Intel Core i3,11. Nesil,1115G4,8.0,"15,6 inç",Belirtilmemiş,Paylaşımlı,Dahili,Belirtilmemiş,,2 Yıl,,DDR4,256.0,,,1920 x 1080,,2,Windows
14839.0,Intel XE Graphics,Intel Core i5,10. Nesil,1235U,8.0,"15,6 inç",DDR4,8 GB,Dahili,90 Hz,,2 Yıl,,DDR4,512.0,,,1920 x 1080,,10,Windows
